Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Modifier #5,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,other Birds present,view,15,"RFBO,unknown","flying,diving,other,pile",close - well defined body and movements,close,POINT,122.200,122.200,NA,MOVI0000.avi,3666,3666,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,Identifiable/individual birds,view,3,RFBO,adult,parallel flight,,POINT,137.400,137.400,NA,MOVI0000.avi,4122,4122,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,partially obscured,view,feathers,,,,,STATE,146.767,148.167,1.400,MOVI0000.avi,4403,4445,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,other Birds present,view,16,"RFBO,unknown","flying,other",close - well defined body and movements,mid,POINT,152.300,152.300,NA,MOVI0000.avi,4569,4569,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,Eye/bill visible,view,,,,,,POINT,170.000,170.000,NA,MOVI0000.avi,5100,5100,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,other Birds present,view,1,unknown,flying,far-moving speck or lines,far,POINT,182.400,182.400,NA,MOVI0000.avi,5472,5472,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,other Birds present,view,0,None,None,None,None,POINT,212.233,212.233,NA,MOVI0000.avi,6367,6367,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,Eye/bill visible,view,,,,,,POINT,217.600,217.600,NA,MOVI0000.avi,6528,6528,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,Eye/bill visible,view,,,,,,POINT,227.967,227.967,NA,MOVI0000.avi,6839,6839,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,other Birds present,view,2,unknown,flying,far-moving speck or lines,far,POINT,242.133,242.133,NA,MOVI0000.avi,7264,7264,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,other Birds present,view,0,None,None,None,None,POINT,272.500,272.500,NA,MOVI0000.avi,8175,8175,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,other Birds present,view,0,None,None,None,None,POINT,301.533,301.533,NA,MOVI0000.avi,9046,9046,,,,
nest_44_as_mov0_fullannotation.v1,2023-07-25 11:31:13,,Media file,player #1:MOVI0000.avi;MOVI0001.avi;MOVI0002.avi;MOVI0003.avi;MOVI0004.avi;MOVI0005.avi;MOVI0006.avi,0.0,1883.399,1800.033;1800.033;1800.033;1800.033;1800.033;1800.033;4.533,30.000;30.000;30.000;30.000;30.000;30.000;30.000,No focal subject,3979.213,splasH,view,,,,,,POINT,306.367,306.367,NA,MOVI0000.avi,9191,9191,,,,
